commentaire;sentiment_réel;sentiment_prédit
Je recommande fortement cet endroit.;positif;positif
Le personnel était très accueillant.;positif;positif
Le personnel était très accueillant.;positif;positif
Excellent rapport qualité/prix.;positif;positif
Service rapide et efficace.;positif;positif
Très bon accueil à la réception.;positif;positif
Je ne recommande pas cet hôtel.;négatif;négatif
Super séjour, tout était parfait.;positif;positif
Propreté insuffisante.;négatif;négatif
Accueil froid et impersonnel.;négatif;négatif
Le vol était en retard, très frustrant.;négatif;négatif
Déçu par la qualité du service.;négatif;négatif
Propreté insuffisante.;négatif;négatif
Mauvais rapport qualité/prix.;négatif;négatif
C’était moyen, rien de spécial.;neutre;neutre
Excellent rapport qualité/prix.;positif;positif
Déçu par la qualité du service.;négatif;négatif
Super séjour, tout était parfait.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
Manque de personnalité mais fonctionnel.;neutre;neutre
Service acceptable, un peu lent.;neutre;neutre
Hôtel correct mais un peu bruyant.;neutre;neutre
Déçu par la qualité du service.;négatif;négatif
Trop cher pour les prestations proposées.;négatif;négatif
Chambre sale et personnel peu aimable.;négatif;négatif
Super séjour, tout était parfait.;positif;positif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Je ne recommande pas cet hôtel.;négatif;négatif
Parfait pour un séjour en famille.;positif;positif
Déçu par la qualité du service.;négatif;négatif
Je ne recommande pas cet hôtel.;négatif;négatif
Excellent rapport qualité/prix.;positif;positif
Déçu par la qualité du service.;négatif;négatif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
Très mauvaise expérience.;négatif;négatif
Service rapide et efficace.;positif;positif
Parfait pour un séjour en famille.;positif;positif
Service acceptable, un peu lent.;neutre;neutre
Déçu par la qualité du service.;négatif;négatif
Séjour correct, sans plus.;neutre;neutre
Très bon service, chambre propre.;positif;positif
Pas très impressionné, mais pas déçu non plus.;neutre;neutre
Magnifique vue depuis la chambre.;positif;positif
Déçu par la qualité du service.;négatif;négatif
Magnifique vue depuis la chambre.;positif;positif
Je recommande fortement cet endroit.;positif;positif
Trop cher pour les prestations proposées.;négatif;négatif
Service rapide et efficace.;positif;positif
Parfait pour un séjour en famille.;positif;positif
Très bon accueil à la réception.;positif;positif
Très bon service, chambre propre.;positif;positif
Ni bon ni mauvais.;neutre;neutre
Chambre simple, basique mais propre.;neutre;neutre
Séjour correct, sans plus.;neutre;neutre
Accueil froid et impersonnel.;négatif;négatif
Mauvais rapport qualité/prix.;négatif;négatif
Le personnel était très accueillant.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
Parfait pour un séjour en famille.;positif;positif
Très bon service, chambre propre.;positif;positif
Chambre simple, basique mais propre.;neutre;neutre
Le personnel était très accueillant.;positif;positif
Excellent rapport qualité/prix.;positif;positif
Magnifique vue depuis la chambre.;positif;positif
Propreté insuffisante.;négatif;négatif
Très bon accueil à la réception.;positif;positif
Service rapide et efficace.;positif;positif
Parfait pour un séjour en famille.;positif;positif
Séjour correct, sans plus.;neutre;neutre
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Parfait pour un séjour en famille.;positif;positif
Hôtel correct mais un peu bruyant.;neutre;neutre
Très bon service, chambre propre.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
Manque de personnalité mais fonctionnel.;neutre;neutre
Service acceptable, un peu lent.;neutre;neutre
Beaucoup de bruit toute la nuit.;négatif;négatif
Super séjour, tout était parfait.;positif;positif
Chambre sale et personnel peu aimable.;négatif;négatif
Très bon accueil à la réception.;positif;positif
Très bon service, chambre propre.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
Déçu par la qualité du service.;négatif;négatif
Parfait pour un séjour en famille.;positif;positif
Propreté insuffisante.;négatif;négatif
Chambre simple, basique mais propre.;neutre;neutre
Très bon accueil à la réception.;positif;positif
Très mauvaise expérience.;négatif;négatif
Super séjour, tout était parfait.;positif;positif
Le personnel était très accueillant.;positif;positif
Service acceptable, un peu lent.;neutre;neutre
Propreté insuffisante.;négatif;négatif
Séjour correct, sans plus.;neutre;neutre
Très bon accueil à la réception.;positif;positif
Propreté insuffisante.;négatif;négatif
Je ne recommande pas cet hôtel.;négatif;négatif
Mauvais rapport qualité/prix.;négatif;négatif
Pas très impressionné, mais pas déçu non plus.;neutre;neutre
Parfait pour un séjour en famille.;positif;positif
Service acceptable, un peu lent.;neutre;neutre
Parfait pour un séjour en famille.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
C’était moyen, rien de spécial.;neutre;neutre
Propreté insuffisante.;négatif;négatif
Magnifique vue depuis la chambre.;positif;positif
Hôtel correct mais un peu bruyant.;neutre;neutre
Mauvais rapport qualité/prix.;négatif;négatif
Service rapide et efficace.;positif;positif
Propreté insuffisante.;négatif;négatif
Ni bon ni mauvais.;neutre;neutre
Mauvais rapport qualité/prix.;négatif;négatif
Parfait pour un séjour en famille.;positif;positif
Très bon service, chambre propre.;positif;positif
Parfait pour un séjour en famille.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Très mauvaise expérience.;négatif;négatif
Je recommande fortement cet endroit.;positif;positif
Hôtel correct mais un peu bruyant.;neutre;neutre
Peu de différences par rapport aux autres hôtels.;neutre;neutre
Trop cher pour les prestations proposées.;négatif;négatif
Le vol était en retard, très frustrant.;négatif;négatif
Je recommande fortement cet endroit.;positif;positif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Le personnel était très accueillant.;positif;positif
Très bon service, chambre propre.;positif;positif
Excellent rapport qualité/prix.;positif;positif
Accueil froid et impersonnel.;négatif;négatif
Manque de personnalité mais fonctionnel.;neutre;neutre
Trop cher pour les prestations proposées.;négatif;négatif
Beaucoup de bruit toute la nuit.;négatif;négatif
Super séjour, tout était parfait.;positif;positif
Le vol était en retard, très frustrant.;négatif;négatif
Très bon accueil à la réception.;positif;positif
Mauvais rapport qualité/prix.;négatif;négatif
Très mauvaise expérience.;négatif;négatif
Chambre sale et personnel peu aimable.;négatif;négatif
Propreté insuffisante.;négatif;négatif
Propreté insuffisante.;négatif;négatif
C’était moyen, rien de spécial.;neutre;neutre
Accueil froid et impersonnel.;négatif;négatif
Pas très impressionné, mais pas déçu non plus.;neutre;neutre
Service rapide et efficace.;positif;positif
Le vol était en retard, très frustrant.;négatif;négatif
Très mauvaise expérience.;négatif;négatif
Je ne recommande pas cet hôtel.;négatif;négatif
Très bon service, chambre propre.;positif;positif
Très mauvaise expérience.;négatif;négatif
Accueil froid et impersonnel.;négatif;négatif
Le personnel était très accueillant.;positif;positif
Peu de différences par rapport aux autres hôtels.;neutre;neutre
Beaucoup de bruit toute la nuit.;négatif;négatif
Manque de personnalité mais fonctionnel.;neutre;neutre
Beaucoup de bruit toute la nuit.;négatif;négatif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Service rapide et efficace.;positif;positif
Excellent rapport qualité/prix.;positif;positif
Mauvais rapport qualité/prix.;négatif;négatif
Magnifique vue depuis la chambre.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
C’était moyen, rien de spécial.;neutre;neutre
Très bon service, chambre propre.;positif;positif
Magnifique vue depuis la chambre.;positif;positif
Propreté insuffisante.;négatif;négatif
Très bon accueil à la réception.;positif;positif
Je ne recommande pas cet hôtel.;négatif;négatif
Très mauvaise expérience.;négatif;négatif
Parfait pour un séjour en famille.;positif;positif
Chambre sale et personnel peu aimable.;négatif;négatif
Magnifique vue depuis la chambre.;positif;positif
Je recommande fortement cet endroit.;positif;positif
Excellent rapport qualité/prix.;positif;positif
Le personnel était très accueillant.;positif;positif
Excellent rapport qualité/prix.;positif;positif
C’était moyen, rien de spécial.;neutre;neutre
J'ai adoré cet hôtel, tout s'est bien passé.;positif;positif
Beaucoup de bruit toute la nuit.;négatif;négatif
Mauvais rapport qualité/prix.;négatif;négatif
Propreté insuffisante.;négatif;négatif
Je recommande fortement cet endroit.;positif;positif
Le vol était en retard, très frustrant.;négatif;négatif
Chambre simple, basique mais propre.;neutre;neutre
Très bon accueil à la réception.;positif;positif
Trop cher pour les prestations proposées.;négatif;négatif
Service rapide et efficace.;positif;positif
Peu de différences par rapport aux autres hôtels.;neutre;neutre
Super séjour, tout était parfait.;positif;positif
Le vol était en retard, très frustrant.;négatif;négatif
Le vol était en retard, très frustrant.;négatif;négatif
Accueil froid et impersonnel.;négatif;négatif
Chambre simple, basique mais propre.;neutre;neutre
Peu de différences par rapport aux autres hôtels.;neutre;neutre
Le personnel était très accueillant.;positif;positif
Mauvais rapport qualité/prix.;négatif;négatif
Le vol était en retard, très frustrant.;négatif;négatif
Très bon accueil à la réception.;positif;positif
Service acceptable, un peu lent.;neutre;neutre
